,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,imdbId,title,releaseYear,releaseDate,genre,writers,actors,directors,sequel,hitFlop,rating,votes,runtimes
0,0,0,0,0,0,0,0,0,0,0,tt0118578,Albela,2001,20 Apr 2001,Romance,Honey Irani (screenplay) | Honey Irani (story) | Javed Siddiqui (dialogue),Govinda | Aishwarya Rai Bachchan | Jackie Shroff | Namrata Shirodkar,Deepak Sareen,0.0,2,3.7,636.0,145.0
1,1,1,1,1,1,1,1,1,1,1,tt0169102,Lagaan: Once Upon a Time in India,2001,08 May 2002,Adventure | Drama | Musical,Ashutosh Gowariker (story) | Ashutosh Gowariker (screenplay) | Kumar Dave (screenplay) | Sanjay Dayma (screenplay) | K.P. Saxena (dialogue),Aamir Khan | Gracy Singh | Rachel Shelley | Paul Blackthorne,Ashutosh Gowariker,0.0,6,8.1,92037.0,224.0
2,2,2,2,2,2,2,2,2,2,2,tt0187279,Meri Biwi Ka Jawab Nahin,2004,02 Jul 2004,Action | Comedy,,Akshay Kumar | Sridevi | Gulshan Grover | Laxmikant Berde,Pankaj Parashar | S.M. Iqbal,0.0,1,4.6,617.0,150.0
3,3,3,3,3,3,3,3,3,3,3,tt0222024,Hum Tumhare Hain Sanam,2002,24 May 2002,Drama | Romance,K.S. Adiyaman | Arun Kumar (assistant dialogue) | Ashok Mehta (assistant dialogue) | Reema Rakesh Nath (dialogue),Shah Rukh Khan | Madhuri Dixit | Salman Khan | Atul Agnihotri,K.S. Adiyaman,0.0,4,5.5,5902.0,174.0
4,4,4,4,4,4,4,4,4,4,4,tt0227194,One 2 Ka 4,2001,30 Mar 2001,Action | Comedy | Drama,Sanjay Chhel | Raaj Kumar Dahima (screenplay) | Manoj Lalwani (screenplay),Shah Rukh Khan | Juhi Chawla | Jackie Shroff | Nirmal Pandey,Shashilal K. Nair,0.0,1,5.5,4377.0,169.0
5,5,5,5,5,5,5,5,5,5,5,tt0238936,Devdas,2002,12 Jul 2002,Musical | Romance,Saratchandra Chatterjee (based on the novel by) | Prakash Kapadia (screenplay) | Sanjay Leela Bhansali (screenplay) | Prakash Kapadia (dialogue),Shah Rukh Khan | Madhuri Dixit | Aishwarya Rai Bachchan | Jackie Shroff,Sanjay Leela Bhansali,0.0,6,7.6,34518.0,185.0
6,6,6,6,6,6,6,6,6,6,6,tt0247911,Aap Mujhe Achche Lagne Lage,2002,19 Apr 2002,Action | Drama | Romance,Robin Bhatt (story) | Girish Dhamija (dialogue) | Sanjeev Duggal (story),Hrithik Roshan | Ameesha Patel | Kiran Kumar | Mukesh Tiwari,Vikram Bhatt,0.0,2,3.2,2055.0,180.0
7,7,7,7,7,7,7,7,7,7,7,tt0248126,Kabhi Khushi Kabhie Gham...,2001,14 Dec 2001,Drama | Musical | Romance,Karan Johar | Sheena Parikh (screenplay),Amitabh Bachchan | Jaya Bhaduri | Shah Rukh Khan | Kajol,Karan Johar,0.0,8,7.5,39720.0,210.0
8,8,8,8,8,8,8,8,8,8,8,tt0248216,Na Tum Jaano Na Hum,2002,10 May 2002,Comedy | Drama | Musical,Pratibha Acharya (dialogue) | Arjun Sablok,Saif Ali Khan | Hrithik Roshan | Esha Deol | Alok Nath,Arjun Sablok,0.0,1,5.1,2483.0,158.0
9,9,9,9,9,9,9,9,9,9,9,tt0248617,Yaadein...,2001,27 Jun 2001,Musical | Drama | Romance,Subhash Ghai (dialogue) | Subhash Ghai (screenplay) | Amrik Gill (dialogue) | Aatish Kapadia (screenplay) | Anuradha Tiwari (screenplay),Jackie Shroff | Hrithik Roshan | Kareena Kapoor | Amrish Puri,Subhash Ghai,0.0,2,4.5,2945.0,171.0
10,10,10,10,10,10,10,10,10,10,10,tt0255713,Zubeidaa,2001,19 Jan 2001,Adventure | Biography | Drama,Khalid Mohamed (original story and screenplay) | Javed Siddiqui (dialogue),Karisma Kapoor | Rekha | Manoj Bajpayee | Rajit Kapoor,Shyam Benegal,0.0,1,6.3,1359.0,153.0
11,11,11,11,11,11,11,11,11,11,11,tt0256692,Chori Chori Chupke Chupke,2001,09 Mar 2001,Drama | Musical | Romance,Shyam Goel (screenplay) | Javed Siddiqui (dialogue) | Neeraj Vora (story),Preity Zinta | Salman Khan | Rani Mukerji | Amrish Puri,Abbas Alibhai Burmawalla | Mastan Alibhai Burmawalla,0.0,5,5.5,3750.0,160.0
12,12,12,12,12,12,12,12,12,12,12,tt0265148,Main Prem Ki Diwani Hoon,2003,27 Jun 2003,Musical | Drama | Romance,Sooraj R. Barjatya,Hrithik Roshan | Kareena Kapoor | Abhishek Bachchan | Johnny Lever,Sooraj R. Barjatya,0.0,2,4.0,3792.0,197.0
13,13,13,13,13,13,13,13,13,13,13,tt0265452,Officer,2001,14 Mar 2001,Action | Crime | Drama,Naeem Sha (dialogue) | Naeem Sha (screenplay) | Naeem Sha (story),Sunil Shetty | Raveena Tandon | Danny Denzongpa | Sadashiv Amrapurkar,Naeem Sha,0.0,2,5.3,93.0,
14,14,14,14,14,14,14,14,14,14,14,tt0267363,Chandni Bar,2001,28 Sep 2001,Crime | Drama,Mohan Azaad (dialogue) | Mohan Azaad (screenplay) | Madhur Bhandarkar | Masud Mirza (dialogue),Tabu | Atul Kulkarni | Rajpal Yadav | Shri Vallabh Vyas,Madhur Bhandarkar,0.0,5,7.6,2243.0,150.0
15,15,15,15,15,15,15,15,15,15,15,tt0271604,Kuch Khatti Kuch Meethi,2001,19 Jan 2001,Drama | Family,,Kajol | Rishi Kapoor | Rati Agnihotri | Sunil Shetty,Rahul Rawail,0.0,2,4.7,560.0,120.0
16,16,16,16,16,16,16,16,16,16,16,tt0272543,Censor,2001,14 Feb 2001,Musical | Romance,Dev Anand,Dev Anand | Hema Malini | Shammi Kapoor | Rekha,Dev Anand,0.0,1,3.8,105.0,165.0
17,17,17,17,17,17,17,17,17,17,17,tt0272607,Farz,2001,12 Jan 2001,Action,,Sunny Deol | Preity Zinta | Jackie Shroff | Om Puri,Raj Kanwar,0.0,4,4.3,357.0,
18,18,18,18,18,18,18,18,18,18,18,tt0272735,Mujhe Meri Biwi Se Bachaao,2001,18 Jun 2001,Comedy | Musical | Family,Harry Baweja (story) | Anees Bazmee (screenplay) | Imtiaz Patel (dialogue),Rekha | Naseeruddin Shah | Arshad Warsi | Suman Ranganathan,Harry Baweja,0.0,1,4.3,81.0,
19,19,19,19,19,19,19,19,19,19,19,tt0272736,Mujhse Dosti Karoge!,2002,09 Aug 2002,Musical | Romance | Drama,Aditya Chopra | Kunal Kohli,Rani Mukerji | Hrithik Roshan | Kareena Kapoor | Uday Chopra,Kunal Kohli,0.0,2,5.1,4447.0,149.0
20,20,20,20,20,20,20,20,20,20,20,tt0273164,Daman: A Victim of Marital Violence,2001,04 May 2001,Drama | Family,Kalpana Lajmi,Raveena Tandon | Sayaji Shinde | Sanjay Suri | Raima Sen,Kalpana Lajmi,0.0,1,5.7,77.0,
21,21,21,21,21,21,21,21,21,21,21,tt0273406,Aashiq,2001,26 Jan 2001,Action | Comedy | Drama,Rajeev Kaul,Bobby Deol | Rahul Dev | Dinesh Hingoo | Vrajesh Hirjee,Indra Kumar,0.0,3,3.9,339.0,160.0
22,22,22,22,22,22,22,22,22,22,22,tt0273535,Dil Ne Phir Yaad Kiya,2001,,Drama | Musical | Romance,,Sadashiv Amrapurkar | Vinay Anand | Pooja Batra | Govinda,Rajat Rawail,0.0,1,4.2,85.0,
23,23,23,23,23,23,23,23,23,23,23,tt0274019,Pyaar Diwana Hota Hai,2002,26 Apr 2002,Romance,S.M. Ahale (screenplay) | Shashi (story) | Javed Siddiqui (dialogue),Rani Mukerji | Govinda | Om Puri | Laxmikant Berde,Kirti Kumar,0.0,1,4.0,275.0,148.0
24,24,24,24,24,24,24,24,24,24,24,tt0275381,Grahan,2001,16 Feb 2001,Drama | Romance,,Jackie Shroff | Manisha Koirala | Anupama Verma | Prasad Purandhare,Shashilal K. Nair,0.0,1,5.2,69.0,
25,25,25,25,25,25,25,25,25,25,25,tt0277981,Rahul,2001,23 Mar 2001,Drama,Farhan (dialogue) | Farhan (screenplay) | Anuradha Tiwari (screenplay),Neha | Rajeshwari Sachdev | Gulshan Grover | Nina Kulkarni,Prakash Jha,0.0,1,5.4,214.0,151.0
26,26,26,26,26,26,26,26,26,26,26,tt0278291,Ajnabee,2001,21 Sep 2001,Crime | Mystery | Thriller,Robin Bhatt (screenplay) | Sanjeev Duggal (screenplay) | Shyam Goel (dialogue) | Shyam Goel (screenplay) | Neeraj Vora (screenplay) | Neeraj Vora (story),Akshay Kumar | Bobby Deol | Kareena Kapoor | Bipasha Basu,Abbas Alibhai Burmawalla | Mastan Alibhai Burmawalla,0.0,4,6.6,7307.0,165.0
27,27,27,27,27,27,27,27,27,27,27,tt0278522,Jodi No.1,2001,13 Apr 2001,Comedy,Rumi Jaffery (dialogue) | Imtiaz Patel (screenplay) | Yunus Sajawal (screenplay),Sanjay Dutt | Govinda | Twinkle Khanna | Monica Bedi,David Dhawan,0.0,6,5.9,1916.0,140.0
28,28,28,28,28,28,28,28,28,28,28,tt0279021,Chhupa Rustam: A Musical Thriller,2001,25 Apr 2001,Crime | Drama | Romance,Rajeev Kaul,Tinnu Anand | Raj Babbar | Laxmikant Berde | Avtar Gill,Aziz Sejawal,0.0,3,4.5,72.0,127.0
29,29,29,29,29,29,29,29,29,29,29,tt0280720,The Guru,2002,14 Feb 2003,Comedy | Fantasy | Music,Tracey Jackson,Jimi Mistry | Heather Graham | Marisa Tomei | Michael McKean,Daisy von Scherler Mayer,0.0,1,5.4,14387.0,94.0
30,30,30,30,30,30,30,30,30,30,30,tt0281102,Pyaar Tune Kya Kiya...,2001,27 Apr 2001,Thriller,Rajat Mukherjee (screenplay),Fardeen Khan | Ravi Baswani | Kannu Gill | Sonali Kulkarni,Rajat Mukherjee,0.0,3,5.8,698.0,123.0
